#{"t_start": 1734358070.976824, "env_id": "RMSA_ENV-v0"}
r,l,t
92.0,100,70.163027
100.0,100,70.196921
98.0,100,70.231513
100.0,100,70.264783
100.0,100,70.297608
100.0,100,70.330974
98.0,100,70.364323
100.0,100,70.39615
98.0,100,70.432521
100.0,100,70.465325
100.0,100,70.499142
98.0,100,70.532339
98.0,100,70.566301
100.0,100,70.600163
96.0,100,70.631591
100.0,100,70.664111
100.0,100,70.696196
100.0,100,70.728525
100.0,100,70.763152
100.0,100,70.797051
100.0,100,70.82959
100.0,100,70.865917
96.0,100,70.897844
100.0,100,70.93165
92.0,100,70.966976
96.0,100,71.000243
96.0,100,71.032728
98.0,100,71.065837
100.0,100,71.09824
100.0,100,71.129868
98.0,100,71.161486
100.0,100,71.194394
100.0,100,71.230581
98.0,100,71.263555
100.0,100,71.296166
100.0,100,71.328894
100.0,100,71.360561
100.0,100,71.392638
100.0,100,71.426778
100.0,100,71.459313
100.0,100,71.490909
100.0,100,71.554897
100.0,100,71.588272
100.0,100,71.621263
100.0,100,71.654631
100.0,100,71.686965
100.0,100,71.719729
98.0,100,71.752854
98.0,100,71.785305
100.0,100,71.818413
96.0,100,71.851858
100.0,100,71.886399
100.0,100,71.918733
100.0,100,71.953393
98.0,100,71.988011
100.0,100,72.023908
100.0,100,72.05539
100.0,100,72.08984
100.0,100,72.123755
100.0,100,72.157876
100.0,100,72.190496
98.0,100,72.224625
100.0,100,72.259256
98.0,100,72.292813
100.0,100,72.325705
100.0,100,72.359677
96.0,100,72.393064
100.0,100,72.426117
100.0,100,72.46019
100.0,100,72.494439
100.0,100,72.528267
100.0,100,72.559483
100.0,100,72.592816
98.0,100,72.625844
100.0,100,72.659047
100.0,100,72.693234
98.0,100,72.725005
96.0,100,72.761036
100.0,100,72.792395
100.0,100,72.825792
100.0,100,72.860241
98.0,100,72.89433
98.0,100,72.925368
92.0,100,72.960369
98.0,100,72.996161
100.0,100,73.034579
100.0,100,73.065628
96.0,100,73.102787
96.0,100,73.139037
98.0,100,73.176
96.0,100,73.210316
98.0,100,73.244895
100.0,100,73.278582
100.0,100,73.313395
100.0,100,73.348966
100.0,100,73.383143
100.0,100,73.41519
100.0,100,73.447787
100.0,100,73.481757
100.0,100,73.516097
98.0,100,73.552188
100.0,100,73.585774
98.0,100,73.619496
100.0,100,73.652046
100.0,100,73.687071
100.0,100,73.718863
100.0,100,73.754424
100.0,100,73.787767
100.0,100,73.818317
100.0,100,73.848933
100.0,100,73.880175
98.0,100,73.912019
100.0,100,73.943038
98.0,100,73.975702
100.0,100,74.008071
96.0,100,74.038806
100.0,100,74.075827
100.0,100,74.107981
100.0,100,74.139573
100.0,100,74.169946
98.0,100,74.201544
94.0,100,74.236005
100.0,100,74.270037
100.0,100,74.302978
98.0,100,74.336603
98.0,100,74.369523
100.0,100,74.403077
100.0,100,74.435901
98.0,100,74.468747
98.0,100,74.501498
100.0,100,74.536524
100.0,100,74.568856
100.0,100,74.602073
100.0,100,74.632829
98.0,100,74.665182
98.0,100,74.698263
98.0,100,74.731116
100.0,100,74.764273
100.0,100,74.798164
100.0,100,74.831248
100.0,100,74.866859
98.0,100,74.901452
98.0,100,74.934762
98.0,100,74.967236
100.0,100,75.000187
96.0,100,75.03345
100.0,100,75.06674
98.0,100,75.100365
98.0,100,75.132561
100.0,100,75.169313
100.0,100,75.204756
98.0,100,75.239488
100.0,100,75.271583
100.0,100,75.30751
100.0,100,75.343906
100.0,100,75.377175
100.0,100,75.41258
98.0,100,75.445872
100.0,100,75.477784
100.0,100,75.511262
100.0,100,75.546052
100.0,100,75.581305
100.0,100,75.613726
100.0,100,75.646297
100.0,100,75.678619
100.0,100,75.715167
100.0,100,75.747828
98.0,100,75.779761
96.0,100,75.810565
100.0,100,75.844055
98.0,100,75.876647
100.0,100,75.909848
100.0,100,75.942034
98.0,100,76.007561
100.0,100,76.043187
100.0,100,76.077404
100.0,100,76.111465
98.0,100,76.141737
98.0,100,76.173864
100.0,100,76.205796
100.0,100,76.236967
100.0,100,76.270511
98.0,100,76.303224
96.0,100,76.337074
100.0,100,76.3692
100.0,100,76.403459
100.0,100,76.436569
100.0,100,76.469722
100.0,100,76.502702
100.0,100,76.535579
100.0,100,76.567107
100.0,100,76.600382
100.0,100,76.633341
100.0,100,76.666284
100.0,100,76.69863
100.0,100,76.730506
100.0,100,76.765209
100.0,100,76.800504
100.0,100,76.832749
100.0,100,76.864368
98.0,100,76.895243
98.0,100,76.927441
100.0,100,76.960052
100.0,100,76.995017
100.0,100,77.027583
100.0,100,77.060078
100.0,100,77.093681
100.0,100,77.126486
100.0,100,77.159527
98.0,100,77.192427
100.0,100,77.225271
100.0,100,77.258952
98.0,100,77.292743
100.0,100,77.325112
100.0,100,77.356666
100.0,100,77.388532
100.0,100,77.421079
96.0,100,77.454962
98.0,100,77.487056
100.0,100,77.520377
96.0,100,77.554477
100.0,100,77.589356
96.0,100,77.626212
100.0,100,77.661172
94.0,100,77.69456
100.0,100,77.726426
100.0,100,77.758826
100.0,100,77.792168
100.0,100,77.825967
98.0,100,77.859075
98.0,100,77.892183
100.0,100,77.926459
100.0,100,77.959624
100.0,100,77.992529
96.0,100,78.025027
100.0,100,78.055867
100.0,100,78.089534
100.0,100,78.122474
98.0,100,78.157922
98.0,100,78.193017
98.0,100,78.22739
100.0,100,78.261939
100.0,100,78.295296
100.0,100,78.329713
100.0,100,78.360222
100.0,100,78.392543
98.0,100,78.427197
100.0,100,78.462281
100.0,100,78.493153
100.0,100,78.524156
100.0,100,78.557975
100.0,100,78.590668
100.0,100,78.623183
100.0,100,78.655921
100.0,100,78.688618
100.0,100,78.720577
100.0,100,78.75264
100.0,100,78.7856
100.0,100,78.818179
100.0,100,78.850864
100.0,100,78.883328
100.0,100,78.91632
100.0,100,78.948258
100.0,100,78.980646
98.0,100,79.01479
100.0,100,79.046762
98.0,100,79.082098
100.0,100,79.116464
100.0,100,79.148749
96.0,100,79.181003
100.0,100,79.21524
98.0,100,79.247761
100.0,100,79.279313
100.0,100,79.311523
100.0,100,79.342567
100.0,100,79.37268
100.0,100,79.403126
100.0,100,79.435604
100.0,100,79.47119
100.0,100,79.502603
100.0,100,79.537478
100.0,100,79.569985
100.0,100,79.601761
100.0,100,79.634678
100.0,100,79.667674
100.0,100,79.700237
96.0,100,79.731529
100.0,100,79.763978
100.0,100,79.796948
100.0,100,79.829188
100.0,100,79.862576
100.0,100,79.893794
100.0,100,79.927484
100.0,100,79.960987
100.0,100,79.995344
100.0,100,80.028752
100.0,100,80.062481
100.0,100,80.096599
100.0,100,80.131276
100.0,100,80.164963
100.0,100,80.19827
100.0,100,80.23202
100.0,100,80.265033
100.0,100,80.30078
96.0,100,80.334036
98.0,100,80.367921
98.0,100,80.400836
98.0,100,80.434687
100.0,100,80.468313
98.0,100,80.502602
100.0,100,80.536364
100.0,100,80.57042
100.0,100,80.605002
98.0,100,80.639263
100.0,100,80.683002
100.0,100,80.717008
100.0,100,80.749105
100.0,100,80.780523
100.0,100,80.813226
98.0,100,80.845877
100.0,100,80.877896
100.0,100,80.909769
100.0,100,80.943039
100.0,100,80.976937
100.0,100,81.00961
100.0,100,81.042393
100.0,100,81.076162
100.0,100,81.120062
100.0,100,81.153027
96.0,100,81.186694
100.0,100,81.218416
100.0,100,81.25149
100.0,100,81.284941
100.0,100,81.319029
100.0,100,81.35158
100.0,100,81.387253
100.0,100,81.418986
100.0,100,81.451789
100.0,100,81.486928
98.0,100,81.517703
98.0,100,81.549232
100.0,100,81.581927
100.0,100,81.615976
100.0,100,81.649318
100.0,100,81.683391
100.0,100,81.716123
100.0,100,81.748071
100.0,100,81.781166
98.0,100,81.814405
100.0,100,81.847595
100.0,100,81.880006
100.0,100,81.913056
100.0,100,81.945531
100.0,100,81.976425
100.0,100,82.007002
90.0,100,82.038827
96.0,100,82.070406
100.0,100,82.102572
98.0,100,82.136444
100.0,100,82.169034
100.0,100,82.201789
100.0,100,82.235707
100.0,100,82.267649
100.0,100,82.298804
100.0,100,82.329156
100.0,100,82.359385
100.0,100,82.39042
100.0,100,82.420949
100.0,100,82.453315
100.0,100,82.486446
100.0,100,82.518617
100.0,100,82.549389
98.0,100,82.580582
100.0,100,82.645834
100.0,100,82.678226
100.0,100,82.710869
100.0,100,82.743067
100.0,100,82.776345
100.0,100,82.809702
100.0,100,82.840708
96.0,100,82.873082
100.0,100,82.906385
100.0,100,82.939495
98.0,100,82.97215
100.0,100,83.005381
98.0,100,83.03984
98.0,100,83.074753
96.0,100,83.108719
100.0,100,83.139725
98.0,100,83.173188
98.0,100,83.20598
98.0,100,83.244261
100.0,100,83.278969
100.0,100,83.311884
100.0,100,83.346185
100.0,100,83.379295
100.0,100,83.412577
100.0,100,83.446081
100.0,100,83.479242
100.0,100,83.510139
100.0,100,83.54055
100.0,100,83.574712
100.0,100,83.607646
100.0,100,83.638258
96.0,100,83.670161
100.0,100,83.70076
98.0,100,83.734849
100.0,100,83.767366
100.0,100,83.799717
98.0,100,83.831392
100.0,100,83.861607
100.0,100,83.894866
100.0,100,83.927644
94.0,100,83.960069
100.0,100,83.99442
100.0,100,84.027666
98.0,100,84.058608
100.0,100,84.089666
100.0,100,84.120502
100.0,100,84.153198
100.0,100,84.186132
100.0,100,84.21895
96.0,100,84.253597
100.0,100,84.289769
100.0,100,84.324024
100.0,100,84.355458
100.0,100,84.390529
100.0,100,84.425898
98.0,100,84.457733
100.0,100,84.488579
100.0,100,84.522229
98.0,100,84.555778
96.0,100,84.589388
100.0,100,84.623193
100.0,100,84.653566
100.0,100,84.684879
100.0,100,84.717582
100.0,100,84.750258
100.0,100,84.782724
100.0,100,84.814765
96.0,100,84.847631
98.0,100,84.880234
