#{"t_start": 1726419841.7342029, "env_id": "RMSA_ENV-v0"}
r,l,t
966,1000,1693.223262
978,1000,1694.532706
970,1000,1695.803715
966,1000,1697.097799
966,1000,1698.400142
960,1000,1699.735095
970,1000,1701.014776
958,1000,1702.328479
974,1000,1703.631967
966,1000,1704.970697
944,1000,1706.268222
968,1000,1707.591759
978,1000,1708.876999
944,1000,1710.218578
972,1000,1711.527311
982,1000,1712.869766
978,1000,1714.173518
968,1000,1715.503699
968,1000,1716.822538
968,1000,1718.189692
964,1000,1719.540957
962,1000,1720.871282
970,1000,1722.195743
964,1000,1723.474491
976,1000,1724.821759
970,1000,1726.11041
986,1000,1727.458026
956,1000,1728.793788
954,1000,1730.086799
966,1000,1731.379571
980,1000,1732.65526
968,1000,1733.942691
970,1000,1735.22488
962,1000,1736.50043
982,1000,1737.792137
964,1000,1739.085989
960,1000,1740.367783
958,1000,1741.64328
974,1000,1742.939965
962,1000,1744.20697
970,1000,1745.481675
974,1000,1746.755488
972,1000,1748.049829
978,1000,1749.400421
960,1000,1750.737707
968,1000,1752.048798
968,1000,1753.356596
978,1000,1754.649229
970,1000,1755.952388
974,1000,1757.250203
968,1000,1758.563936
984,1000,1759.875273
958,1000,1761.161545
976,1000,1762.463654
990,1000,1763.754015
980,1000,1765.036048
970,1000,1766.323098
950,1000,1767.648954
958,1000,1768.952786
964,1000,1770.233188
988,1000,1771.521116
956,1000,1772.81779
952,1000,1774.125177
974,1000,1775.454118
970,1000,1776.761412
928,1000,1778.033072
972,1000,1779.356137
960,1000,1780.653024
978,1000,1781.964635
980,1000,1783.264582
974,1000,1784.554256
972,1000,1785.852784
960,1000,1787.138335
966,1000,1788.429875
976,1000,1789.727303
974,1000,1791.008702
982,1000,1792.309199
976,1000,1793.605879
966,1000,1794.909721
968,1000,1796.185891
956,1000,1797.482646
980,1000,1798.776057
978,1000,1800.096407
966,1000,1801.411519
984,1000,1802.708253
968,1000,1803.997082
976,1000,1805.279005
972,1000,1806.558357
974,1000,1807.871584
976,1000,1809.186323
984,1000,1810.49418
980,1000,1811.792681
976,1000,1813.066417
982,1000,1814.337749
964,1000,1815.617106
978,1000,1816.959176
972,1000,1818.313913
982,1000,1819.642007
976,1000,1820.935944
974,1000,1822.227434
974,1000,1823.502677
978,1000,1824.7935
978,1000,1826.102691
970,1000,1827.386111
978,1000,1828.694266
972,1000,1830.022429
976,1000,1831.359335
972,1000,1832.649011
978,1000,1833.951143
976,1000,1835.253994
970,1000,1836.593394
986,1000,1837.883447
984,1000,1839.212984
956,1000,1840.517314
