,0
94,0.001282586542949735
95,0.0020542413061292886
96,0.0018550095835430452
97,0.004447140565903914
98,0.0019510776310011863
99,0.0017632443522555958
100,0.001067987945687925
101,0.0030515378960295375
102,0.002696250291973246
103,0.002181779636571649
104,0.0011599832371657905
105,0.001590321171541734
106,0.0019159092569244942
107,0.0022924513318430704
108,0.002510121136904546
109,0.0008487773526605712
110,0.0010574268615644155
111,0.002104933942754969
112,0.00025273356625258784
113,0.0009731670514493466
114,0.001762113441873044
115,0.0004985453816277601
116,0.0003258810555401236
117,0.001717907735855831
118,0.0003236741246123487
119,0.0005398786579116209
120,0.0007894786202507547
121,0.001104993324896614
122,0.0010569363884505639
123,0.0005209920912425468
124,0.0011477028070205901
125,0.0007776806520156895
126,0.0007674680026084038
127,0.0010180268489988268
128,0.0006366619345835584
129,0.0004353352449702236
130,0.0012921951503767604
131,0.002015772228838288
132,0.0008502222540766413
133,0.0001793583901114429
134,0.00047638725035754437
135,0.0009756884583113256
136,0.0003217655019212676
137,0.000632356032874479
138,0.0005654578388245894
139,0.0027458583903872953
140,0.0012509227242290702
141,0.0012246919054412476
142,0.0015016539194881795
143,0.0013120809127619686
144,0.0011358336064243603
145,0.0007496196803432881
146,0.001565260928097017
147,0.0015545413942473464
148,0.002310167790552046
149,0.0027499996402676695
150,0.0011039984531723988
151,0.002779467280896356
152,0.0004129962164950736
153,0.0
154,0.00022990861664322123
155,0.0003134739061370692
156,0.00023571055171925942
157,0.0005037702561793139
158,0.0001591460341692432
159,6.165686380656497e-05
160,0.000643844787075087
161,0.00020760404007250894
162,0.0007307832102010642
163,0.0003744820705619341
164,0.0004438865215996244
165,0.00045520778423737654
166,0.00017732005604631181
167,4.5379732281796866e-05
168,0.00034929816728047474
169,1.409177157749319e-05
170,0.0008001891663667791
171,0.00020680592970166812
172,0.0001712092692300881
173,0.0011574599596497728
174,2.6341660712729046e-05
175,0.0011270650782565213
176,0.00030837533174914216
177,0.0015938643315194568
178,0.0005038473069638644
179,0.000686166022884548
180,0.0012062472803282133
181,0.0005511377594640985
182,0.0017483818428802025
183,0.0008785989468260577
184,0.0005712052925767166
185,0.0026624510540213266
186,0.0027765725952603915
187,0.00676832759470428
188,0.004330128195331361
189,0.0012764779181462238
190,0.002813097085278242
191,0.0011230363206549928
192,0.0012289518846996933
193,0.0032946070946860075
194,0.0010849657343837032
195,9.5617360571296e-05
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
